Review novelty to group,Review novelty to history,Semantic-level review novelty to group,Semantic-level review novelty to history,Target-product's area rate,Distance to specialists,Number of words in logarithm scale
18.15337658,5325.63457,1.180268726,1.152663835,0.152784778,0.903600797,2.708050201
18.00702622,4810.255395,0.952358442,0.864684185,0.603717724,0.842417737,6.259581464
18.00570035,4572.975562,0.938940224,1.120745476,1,0.922003319,1.945910149
17.45198795,4572.975562,0.964801182,1.039285905,0.378659866,0.852057424,4.406719247
16.89283783,3363.870766,0.856607349,1.267620862,0.592741935,0.976157367,2.944438979
16.66832194,2900.458711,0.938982114,1.007327096,0.998237895,0.890002865,2.079441542
16.66832194,2900.458711,0.862621014,1.195168261,1,0.920376563,3.091042453
16.52869972,2896.08579,1.158430553,1.094227868,0.069837106,0.976466162,2.890371758
16.52869972,2882.235145,1.089447675,1.219072519,0.407554586,1.025503489,2.708050201
16.4657707,2635.614466,1.106828162,1.30057473,0.290477227,0.969966254,4.060443011
15.9351608,2635.614466,0.845697189,1.178561959,0.986654134,0.987071321,4.934473933
15.75579664,2543.23433,0.971172288,1.139897789,0.331973974,0.981051759,4.189654742
15.75579664,2512.231716,1.214546429,1.203444483,0.141028799,0.966759074,2.833213344
15.66385289,2350.786509,0.914129204,1.004830575,0.505644589,0.863962455,2.944438979
15.66385289,2256.257025,1.260420691,1.382845834,0.127092855,1.094100558,2.302585093
15.50472806,2166.899798,1.155519316,1.15376152,0.078560301,0.946410183,3.17805383
15.50435959,2161.253667,1.214492575,1.282120847,0.25,0.949335658,2.63905733
15.47793617,2161.253667,0.899250818,1.042592478,0.269025846,0.887029757,5.717027701
15.27509669,1952.699119,0.949156724,1.072310967,0.555065276,0.855848198,2.944438979
15.27509669,1952.699119,0.846945883,1.354245412,0.090107221,0.88821745,3.63758616
15.25151528,1878.214572,1.030470724,1.350197831,0.12197867,0.939252593,3.970291914
14.9559385,1865.735964,0.920160425,1.439463321,0.053979042,0.850052837,4.110873864
14.95485872,1847.304499,0.723076533,1.243911946,1,0.902202759,1.945910149
14.95485872,1847.304499,1.060970309,1.082298114,0.231708931,0.824769422,2.708050201
14.94447706,1832.648912,1.044968808,1.281056076,0.355392951,1.023345592,3.970291914
14.94447706,1832.648912,1.138930719,1.174588022,0.575807005,0.915279019,4.025351691
14.85983156,1804.119734,0.941016512,1.218348093,0.229315114,0.851433617,4.454347296
14.85983156,1801.435712,0.931817494,1.180806737,0.232656708,0.905330321,2.397895273
14.8163886,1728.047535,0.948200344,1.14979066,0.402349478,0.881859361,2.944438979
14.8163886,1728.047535,0.939353708,1.147013751,1,0.882730034,4.543294782
14.76225733,1721.771952,0.887613598,1.177675809,0.14876312,0.776944315,3.17805383
14.71309647,1698.525937,0.82438536,1.182586627,0.301869501,0.862195507,3.295836866
14.69280347,1678.203631,0.853689602,1.095842699,0.411900871,0.836714804,2.833213344
14.61621488,1648.823993,1.068649686,1.138013236,0.753071929,0.843472163,0.693147181
14.61617066,1648.823993,0.910458092,0.997479426,0.843131868,0.870901886,2.944438979
14.4861328,1631.710662,0.965402018,0.978193468,0.326854266,0.827577045,2.079441542
14.4513663,1609.547945,0.969814868,0.854029465,0.549237712,0.800195072,4.060443011
14.45098195,1609.547945,0.984270877,1.047309599,0.336117921,0.904013895,4.343805422
14.36818826,1543.494095,1.058580549,1.267708618,0.646855683,0.98174491,3.583518938
14.35425383,1542.900189,1.192358358,1.45352718,0.061284336,1.058822297,3.091042453
14.35381552,1542.900189,0.772952887,1.039659071,1,0.875583661,2.890371758
14.30211907,1527.219232,1.058293281,1.139169063,0.451552763,0.950225753,5.068904202
14.28320235,1527.219232,1.006050455,1.178767006,0.465364965,0.922251248,3.737669618
14.28320235,1493.517289,0.931665396,1.136802882,0.941416078,1.039616642,3.36729583
14.2192136,1486.581797,0.843286817,0.977518483,0.480405746,0.879032877,3.295836866
14.18262046,1484.94844,1.068477547,1.204332017,0.220575665,0.831425703,6.049733455
14.17248076,1484.94844,0.947281392,1.276813104,0.295995076,0.910948385,4.219507705
14.16653021,1471.362106,1.068634246,1.149271388,0.735925371,0.808168145,2.63905733
14.1541394,1471.362106,1.108711411,1.243094,0.101917614,0.956422425,3.688879454
14.08991217,1462.696995,1.247557699,1.437147503,0.501562664,1.187453156,3.044522438
14.08991217,1450.99132,0.899644217,1.177304271,0.578831095,0.832781115,0.693147181
14.07509092,1439.163409,0.879615448,0.989736633,0.537072145,0.860693897,3.218875825
14.07509092,1425.521809,0.93380842,1.315400345,0.400112387,0.988304198,3.63758616
14.07291923,1425.521809,1.015231197,1.094558961,0.092646111,0.831418636,2.397895273
13.95331314,1409.408072,1.153908145,1.496321976,0.094511783,1.091645391,1.945910149
