"Ratio","TestScore","Gender","Age","SpeakerNum","Frequency","Particular","SubjectKnowledge","IndNovelty","GroNovelty","HisNovelty","Ratio.Trans"
0.0445442708333333,5,1,61,4,7,8,4,2,30.3840047122854,35.8662314600509,0.212654286728807
0.728198369344076,13,1,59,4,5,8,8,1,16.4257305813464,18.4717653843321,1.02236883690931
0.263413111368815,4,2,40,1,6,8,10,4,0.251989810532858,2.41311268239992,0.538953211052207
0.138461642795139,8,1,67,2,6,6,3,3,47.4452105989216,49.0885858545603,0.381275138923869
0.139504750569661,6,1,46,2,5,5,5,4,28.6475178476167,27.5827756134251,0.382782831953555
0.148594326443142,10,1,58,2,7,8,9,2,2.58552881784386,1.36802200116528,0.395727260930305
0.485291798909505,18,1,51,5,1,10,7,1,2.70946601750952,5.58558020664687,0.770687840252205
0.180815802680122,6,1,44,1,7,3,3,2,22.2675421612533,30.9527963530255,0.439209818890597
0.63415781656901,14,1,61,2,1,7,4,2,23.4538340299817,32.7452506282521,0.92122022477901
0.275690078735352,3,1,57,2,5,1,1,2,96.5777108585729,87.1017283735492,0.5527879333526
0.195138295491536,13,1,50,4,7,6,6,3,21.9683919128247,33.530603683679,0.457542371559761
0.350177129109701,16,1,54,2,7,7,8,4,33.344692473676,31.9221119084196,0.633237507312384
0.555716448958826,8,1,56,2,5,6,4,1,40.3882847288047,46.0228552467691,0.841230569365343
0.30810801188151,13,1,66,2,4,10,7,3,0.0127652089099667,4.60831001717665,0.588452865340198
0.234319898817274,7,1,46,4,7,4,4,3,33.386560019339,28.4885265055954,0.505295469623565
0.101516087849935,14,1,65,1,4,6,6,2,53.2055703109659,58.1350732540202,0.324268921912423
0.309345881144206,6,1,49,6,2,9,8,3,15.3208112696827,17.1659595377528,0.589792643511083
0.0467491149902344,11,1,45,1,7,4,3,3,44.2808435529044,43.3220491634978,0.217936542006181
0.275222142537435,20,1,57,6,7,9,9,3,10.8578003453706,17.1372768567378,0.552264214597745
0.377506256103516,6,1,78,6,3,5,4,1,14.2305092784612,14.2954412974569,0.661644769883912
0.334545771280924,13,1,68,2,5,8,6,2,55.5281791982864,69.7381409844236,0.616765110566919
0.293959935506185,14,1,66,2,7,9,6,1,40.2283982989847,51.8400124214745,0.573030231533795
0.180471119475737,16,1,66,8,7,9,9,4,24.1424910211581,29.0737257723762,0.438761855435302
0.775566577911377,8,1,53,6,7,1,6,2,1.79538975613139,10.8791695600423,1.07725898854331
0.177824020385742,6,1,47,3,5,7,4,3,18.6940125709509,18.1622429405199,0.435310379327423
0.450440724690755,17,1,59,2,5,8,8,1,46.4060285804463,46.5224567336553,0.735757378137809
0.649520142771565,16,1,57,3,6,5,7,2,37.1379562568555,42.6266801382224,0.937241542815034
0.265900293986003,0,1,47,1,7,6,3,2,21.7246425486771,24.3166817550319,0.541772192557972
0.760286331176758,15,1,58,6,5,9,8,2,1.89069668531895,2.1017851148099,1.05915892435447
0.179056803385417,7,1,49,2,5,7,6,3,47.7369579686652,53.7376100788657,0.43692025034862
0.51390012105306,11,1,57,25,5,9,9,2,1.54650282653724,16.2187492907912,0.799300075532933
0.0701427459716797,17,1,53,2,5,7,7,3,59.8972337911209,67.5704731306206,0.268042928206628
0.354735480414497,8,2,45,1,7,4,3,3,41.9876673928394,47.0865926046664,0.638008324050601
0.457239583333333,3,2,40,1,6,1,1,1,13.9200930971166,14.2933252512256,0.742585450815395
0.115555657280816,15,1,57,11,5,8,9,2,2.60588745584039,2.34853682942919,0.346847550914623
0.319016350640191,15,1,50,7,7,8,7,2,0.923707903160936,5.74741649814897,0.600209446139524
0.309272130330404,13,1,30,1,5,6,6,3,27.224523345655,42.6528511343344,0.589712862664079
0.121766567230225,8,1,44,2,7,9,4,2,9.43075975000515,11.7843706793926,0.356451151516363
0.395738389756944,11,1,53,8,5,8,3,1,16.6916612455651,22.2326701802663,0.680365791681992
